27-08-2024 03:09:55 Id : 27082024150955 Fecha : 27-08-2024 15:09:55 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:13:10 Id : 27082024151310 Fecha : 27-08-2024 15:13:10 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:13:51 Id : 27082024151351 Fecha : 27-08-2024 15:13:51 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:15:18 Id : 27082024151518 Fecha : 27-08-2024 15:15:18 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:18:40 Id : 27082024151840 Fecha : 27-08-2024 15:18:40 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
27-08-2024 03:26:23 Id : 27082024152623 Fecha : 27-08-2024 15:26:23 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
29-08-2024 07:53:06 Id : 29082024075306 Fecha : 29-08-2024 07:53:06 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
29-08-2024 07:53:49 Id : 29082024075349 Fecha : 29-08-2024 07:53:49 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
29-08-2024 07:57:55 Id : 29082024075755 Fecha : 29-08-2024 07:57:55 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
29-08-2024 07:58:36 Id : 29082024075836 Fecha : 29-08-2024 07:58:36 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
